Nationality,Tank,Tier,Games Played,Wins,Losses
French,ELC EVEN 90,VIII,1336,688,648
French,EBR 75 FL 10,VIII,466,240,226
French,Lynx 6x6,VIII,409,195,214
American,M3 Stuart,III,337,192,145
French,EBR 105,X,255,110,145
American,T92,VIII,234,109,125
American,Chaffee,V,162,76,86
American,T49,IX,154,73,81
French,B-C 12 t,VIII,146,72,74
American,M5A1 Stuart,IV,146,68,78
British,Sheridan,X,106,51,55
British,Covenanter,V,123,48,75
German,Luchs,IV,99,48,51
Russian,LT-432,VIII,107,46,61
American,M5 Stuart,IV,72,44,28
French,EBR 90,IX,112,43,69
American,M41 Bulldog,VIII,95,38,57
French,AMX 12 t,VI,74,38,36
French,AMX ELC bis,V,73,37,36
French,AMX 13 57,VII,72,36,36
American,M 41 90 mm,VIII,70,35,35
German,Pz. I C,III,62,34,28
American,T37,VI,60,26,34
British,Tetrarch,II,53,25,28
American,T71 DA,VII,53,24,29
American,M7,V,39,21,18
British,Crusader,VI,48,19,29
Russian,BT-2,II,33,19,14
French,EBR Hotch.,VII,43,18,25
Russian,BT-7,IV,33,18,15
French,AMD 178B,VI,31,18,13
French,AMX 13 75,VII,31,17,14
American,MTLS-1G14,III,38,15,23
American,Locust,III,29,15,14
American,T71 CMCD,VII,32,14,18
Russian,A-20,V,25,13,12
British,Cruiser IV,IV,30,12,18
British,LHMTV,VIII,30,12,18
German,SP I C,VII,19,12,7
Russian,T-127,III,25,11,14
French,AMX 13 90,IX,19,11,8
British,Senlac,VIII,24,10,14
Russian,BT-SV,III,20,10,10
Swedish,Strv m/40L,III,16,10,6
British,Cruiser III,III,18,9,9
French,AMX 13 105,X,18,8,10
German,HWK 12,VIII,14,8,6
British,Valentine II,IV,12,8,4
American,T7 Car,II,14,7,7
Russian,T-50,V,14,6,8
